year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2014,Alberta,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,52800.0,70.0
2014,Alberta,"Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,36600.0,100.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,72300.0,460.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,15 to 34 years,South Asian,60200.0,20.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,Not a visible minority,103200.0,120.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Man,35 to 64 years,South Asian,78700.0,40.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,64700.0,70.0
2014,Alberta,"Career, technical or professional training certificate","Architecture, engineering, and related trades [8]",Woman,35 to 64 years,Not a visible minority,110500.0,20.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,62900.0,60.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,58100.0,50.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,46000.0,510.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,15 to 34 years,South Asian,15000.0,20.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,35 to 64 years,Chinese,46800.0,20.0
2014,Alberta,"Career, technical or professional training certificate","Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,62900.0,180.0
2014,Alberta,"Career, technical or professional training certificate",Education [1],Woman,15 to 34 years,Not a visible minority,33200.0,80.0
2014,Alberta,"Career, technical or professional training certificate",Education [1],Woman,35 to 64 years,Not a visible minority,38700.0,60.0
2014,Alberta,"Career, technical or professional training certificate",Health and related fields [10],Man,15 to 34 years,Not a visible minority,58900.0,280.0
2014,Alberta,"Career, technical or professional training certificate",Health and related fields [10],Man,35 to 64 years,Not a visible minority,76000.0,30.0
2014,Alberta,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Black,41000.0,60.0
2014,Alberta,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Chinese,40000.0,40.0
2014,Alberta,"Career, technical or professional training certificate",Health and related fields [10],Woman,15 to 34 years,Filipino,48300.0,100.0
